#chr	start	end	gene	GM12878	HeLaS3	HMEC	HUVEC	IMR90	K562	NHEK
chr4	15779898	15854853	ENSG00000004468	10.47	0.0	0.01	0.02	0.0	0.01	0.05
chr12	2904119	2914576	ENSG00000004478	91.58	95.84	98.46	69.94	38.32	33.55	73.06
chr1	23345941	23410182	ENSG00000004487	59.14	84.53	66.94	108.01	39.4	62.82	60.35
chr3	49977440	50137478	ENSG00000004534	40.15	79.28	16.4	61.38	41.67	32.05	24.46
chr17	3763609	3798185	ENSG00000004660	0.14	18.49	1.83	1.66	5.23	0.36	1.4
chr12	21621845	21654603	ENSG00000004700	80.62	70.67	21.73	122.37	18.99	30.72	23.69
chr7	92861653	92988338	ENSG00000004766	7.52	51.93	5.02	74.79	4.71	13.07	9.66
chr19	36245469	36248980	ENSG00000004776	0.0	0.0	0.01	1.33	132.71	0.0	0.0
chr19	36265434	36279724	ENSG00000004777	1.46	1.71	6.12	1.04	7.2	0.01	0.27
chr16	23592323	23607677	ENSG00000004779	399.68	314.21	80.86	522.16	94.25	142.18	113.68
chr7	95212811	95225803	ENSG00000004799	0.0	11.84	0.0	0.26	0.03	0.0	0.0
chr6	110745890	110797844	ENSG00000004809	0.0	0.0	0.01	0.0	0.0	0.0	0.06
chr3	50378541	50384283	ENSG00000004838	0.02	1.23	0.23	0.29	0.87	0.16	0.12
chr7	20654830	20816658	ENSG00000004846	0.0	0.02	0.0	0.0	0.0	0.0	0.0
chrX	25021811	25034065	ENSG00000004848	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	95749532	95951459	ENSG00000004864	13.34	12.48	15.27	33.86	4.75	25.29	16.56
chr7	116593292	116870157	ENSG00000004866	33.88	13.48	11.32	7.27	12.02	37.84	9.51
chr17	45195069	45266788	ENSG00000004897	59.93	25.28	61.23	67.33	31.3	23.0	54.26
chr17	42325753	42345509	ENSG00000004939	0.0	0.0	0.0	0.0	0.0	0.01	0.0
chr7	93053799	93204042	ENSG00000004948	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	11129421	11141198	ENSG00000004961	41.85	41.18	21.08	37.86	18.48	20.91	25.65
chr17	7128660	7137864	ENSG00000004975	16.54	97.06	5.69	34.45	7.57	0.91	2.11
chr16	2902728	2908171	ENSG00000005001	0.0	0.29	2.62	0.0	0.05	0.0	1.22
chr19	18942747	18979045	ENSG00000005007	3.75	23.87	35.82	24.44	32.4	0.53	19.19
chr7	26706681	27034858	ENSG00000005020	24.03	15.59	5.63	46.59	4.84	8.92	8.58
chrX	118602363	118605282	ENSG00000005022	457.46	261.44	552.09	130.85	217.45	2947.28	252.01
chr4	110481361	110609874	ENSG00000005059	43.95	3.35	20.17	6.8	12.31	1.06	11.7
chr7	27221129	27224842	ENSG00000005073	0.0	0.77	0.09	3.17	0.04	0.0	0.03
chr7	102113565	102119354	ENSG00000005075	99.93	20.3	68.78	20.43	66.25	53.01	48.07
chr17	5344232	5372380	ENSG00000005100	3.89	15.55	16.05	12.19	10.51	3.83	11.28
chr17	41717756	41739322	ENSG00000005102	0.58	1.41	0.01	0.02	0.3	0.0	0.05
chr7	11409984	11871824	ENSG00000005108	0.0	0.0	0.0	5.11	0.02	0.03	0.0
chr17	33307513	33332083	ENSG00000005156	14.01	19.22	12.23	36.88	20.49	14.43	15.07
chr12	48057070	48099844	ENSG00000005175	30.58	78.41	8.09	70.99	8.97	43.99	12.55
chr16	20621565	20808903	ENSG00000005187	3.03	0.48	0.28	2.84	0.32	212.13	0.21
chr16	20817751	20860987	ENSG00000005189	11.54	17.13	2.8	2.39	2.38	9.87	1.48
chr16	57462081	57481440	ENSG00000005194	63.59	41.92	45.9	86.92	26.77	194.6	42.55
chr19	2328614	2355099	ENSG00000005206	18.33	16.11	9.63	13.53	23.23	0.11	5.09
chr9	35104109	35116338	ENSG00000005238	1.52	7.54	26.73	9.99	25.37	0.65	18.2
chr17	46103533	46115392	ENSG00000005243	1.22	0.61	11.02	15.69	54.75	0.1	6.22
chr7	106685094	106802256	ENSG00000005249	0.01	0.0	0.01	18.55	1.98	55.9	0.01
chrX	11776278	11793870	ENSG00000005302	27.61	129.76	13.86	162.11	13.06	29.23	19.66
chr16	3775055	3930727	ENSG00000005339	4.15	47.56	2.28	59.47	8.07	0.72	2.3
chr17	56378592	56406152	ENSG00000005379	1.52	0.0	0.0	0.0	1.04	0.08	0.02
chr17	56347217	56358296	ENSG00000005381	0.07	0.0	0.0	0.0	0.0	0.08	0.0
chr7	94926988	95025673	ENSG00000005421	0.05	0.23	0.0	0.0	0.0	0.0	0.0
chr2	75879126	75938115	ENSG00000005436	21.54	30.65	4.31	26.68	4.14	9.36	9.58
chr2	74648805	74652882	ENSG00000005448	74.28	41.61	63.71	4.48	31.13	6.16	19.71
chr7	86974997	87029111	ENSG00000005469	7.07	0.58	8.08	3.93	6.44	3.42	12.57
chr7	87031013	87109751	ENSG00000005471	2.34	0.0	0.04	0.16	0.0	0.2	0.0
chr7	104654626	104754808	ENSG00000005483	36.67	23.18	1.72	34.28	10.91	8.65	7.35
chr7	75471920	75518244	ENSG00000005486	20.56	5.27	36.41	4.76	27.32	3.53	13.46
chr16	1031808	1036979	ENSG00000005513	0.0	0.0	0.0	0.26	0.17	0.0	0.01
chr6	82879700	82957471	ENSG00000005700	9.63	10.39	8.88	13.84	6.25	16.0	15.12
chr11	3360491	3400448	ENSG00000005801	27.66	11.86	15.59	11.07	7.16	51.14	18.09
chr13	77618792	77901185	ENSG00000005810	24.07	17.07	10.45	36.14	10.89	8.13	19.89
chr13	77566740	77601330	ENSG00000005812	14.88	10.09	12.02	11.96	10.59	3.84	15.26
chr16	30483979	30534506	ENSG00000005844	63.87	0.0	0.0	0.0	0.01	0.0	0.0
chr17	48172101	48189516	ENSG00000005882	11.5	9.57	5.67	3.26	67.28	0.02	4.2
chr17	48133332	48167845	ENSG00000005884	3.8	119.71	733.2	52.23	129.33	0.0	238.24
chrX	24167290	24234372	ENSG00000005889	16.11	27.51	15.17	24.77	8.87	3.77	12.69
chrX	119561682	119603220	ENSG00000005893	27.41	22.95	108.91	57.66	52.65	44.6	115.9
chr17	42449548	42466873	ENSG00000005961	0.59	2.4	0.21	0.02	4.44	3.12	0.0
chr7	95107756	95169544	ENSG00000005981	0.0	0.03	0.0	0.0	0.0	0.02	0.0
chr16	19513015	19533467	ENSG00000006007	19.32	51.53	25.53	38.98	32.78	16.76	29.9
chr19	18699495	18703146	ENSG00000006015	65.21	8.66	35.23	12.56	28.72	2.67	17.93
chr19	18683030	18718551	ENSG00000006016	0.87	2.42	2.45	0.9	2.01	0.94	0.11
chr17	45884738	45899200	ENSG00000006025	3.76	12.53	2.12	6.08	9.4	0.32	1.08
chr17	31254928	31272124	ENSG00000006042	0.12	0.0	65.44	48.33	126.24	78.69	37.72
chr17	7191571	7197934	ENSG00000006047	0.02	0.46	0.07	0.04	0.11	0.03	0.03
chr17	39502344	39507064	ENSG00000006059	0.0	0.0	0.01	0.0	0.0	0.0	0.0
chr17	43340488	43394414	ENSG00000006062	11.68	3.09	6.88	1.2	13.52	0.42	3.57
chr11	17414432	17498449	ENSG00000006071	0.05	2.57	0.01	0.0	0.0	0.0	0.0
chr16	24266874	24374122	ENSG00000006116	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	60691935	60704631	ENSG00000006118	3.82	12.4	23.0	11.51	41.39	0.0	9.28
chr17	33905065	34053436	ENSG00000006125	37.57	95.17	119.98	226.66	64.62	50.86	100.65
chr7	97361220	97369784	ENSG00000006128	0.0	0.0	0.0	0.0	0.0	0.02	0.0
chr16	3313743	3351401	ENSG00000006194	11.44	15.75	5.49	7.29	13.49	3.68	7.86
chr16	57406370	57418960	ENSG00000006210	0.14	0.03	4.22	0.41	0.5	0.0	0.27
chr17	48620419	48633213	ENSG00000006282	18.12	4.72	19.16	13.13	21.54	0.1	9.72
chr17	48638429	48704835	ENSG00000006283	0.0	0.05	0.02	0.0	0.02	0.0	0.03
chr16	3068446	3072384	ENSG00000006327	1.06	8.46	185.95	16.51	195.96	0.61	82.55
chr7	96634860	96640351	ENSG00000006377	0.0	0.0	0.0	0.0	0.0	0.0	0.03
chr14	71189243	71276251	ENSG00000006432	0.81	2.41	12.78	0.0	0.12	0.01	4.06
chr7	39663082	39747723	ENSG00000006451	32.53	84.39	18.35	428.02	13.25	8.88	36.42
chr7	97920963	98030380	ENSG00000006453	35.5	57.95	26.15	0.43	3.86	3.42	23.69
chr7	139784546	139876835	ENSG00000006459	0.02	3.66	1.58	2.78	0.99	1.45	1.91
chr7	13930853	14031050	ENSG00000006468	0.07	0.0	10.55	5.87	5.61	11.53	2.83
chr7	141250989	141355044	ENSG00000006530	26.16	10.81	18.47	19.13	27.39	69.46	18.08
chr11	67776048	67796744	ENSG00000006534	0.13	44.52	4.71	0.04	11.49	0.13	0.07
chr1	55245385	55266940	ENSG00000006555	0.95	0.0	5.02	0.0	0.0	0.0	2.88
chr7	77428122	77586818	ENSG00000006576	13.68	23.46	11.05	19.06	18.9	17.44	13.79
chr7	75398851	75419214	ENSG00000006606	0.0	0.0	0.04	0.0	0.0	16.92	0.02
chr2	242295658	242434256	ENSG00000006607	33.57	7.02	15.81	20.36	11.07	5.57	22.28
chr11	17515442	17565963	ENSG00000006611	0.0	12.19	0.0	0.0	0.0	0.0	0.0
chr7	30536237	30591095	ENSG00000006625	75.08	138.4	28.6	47.23	12.01	264.4	33.64
chr7	87505531	87538856	ENSG00000006634	59.75	18.73	5.97	20.29	4.13	38.86	7.02
chr19	3594504	3606838	ENSG00000006638	0.03	0.63	0.05	0.21	1.48	1.38	0.0
chr7	112063023	112121072	ENSG00000006652	13.49	101.83	10.34	33.38	16.45	30.46	22.82
chr19	40194946	40200084	ENSG00000006659	5.24	0.0	0.0	0.0	0.0	0.0	0.0
chr17	13972813	14111994	ENSG00000006695	17.85	10.55	11.89	6.88	9.94	7.35	8.05
chr7	73868120	74016931	ENSG00000006704	1.03	16.16	7.46	2.75	14.1	7.5	10.72
chr19	39876492	39881835	ENSG00000006712	29.96	28.62	38.83	41.63	35.07	1.34	22.18
chr7	38762563	38971994	ENSG00000006715	38.39	22.0	7.65	55.21	10.37	21.03	21.78
chr17	12692856	12894960	ENSG00000006740	0.15	1.26	0.09	0.05	0.67	0.03	1.22
chr17	12895708	12921504	ENSG00000006744	61.52	13.31	63.49	16.97	48.32	6.62	44.65
chr7	12610203	12693228	ENSG00000006747	0.64	0.45	0.0	0.66	0.03	8.75	0.0
chrX	2822011	2847392	ENSG00000006756	0.85	3.89	4.23	9.24	3.34	0.04	4.44
chrX	7866288	7895780	ENSG00000006757	32.41	12.05	20.88	2.68	10.2	34.98	22.38
chr17	10201401	10276447	ENSG00000006788	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr12	1797740	1897844	ENSG00000006831	4.45	18.73	25.73	11.65	12.89	9.74	33.95
chr5	133541305	133706738	ENSG00000006837	0.8	0.44	0.33	0.65	0.92	2.54	1.1
chr2	158733214	158992666	ENSG00000007001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr16	2867164	2876305	ENSG00000007038	51.55	60.48	2.59	0.0	0.13	14.05	0.3
chr19	45582546	45808541	ENSG00000007047	0.8	25.25	13.28	47.72	12.17	0.17	11.2
chr4	15964699	16086001	ENSG00000007062	0.0	0.0	0.09	0.28	0.03	0.0	0.03
chr19	18043825	18054800	ENSG00000007080	104.29	56.32	61.33	56.44	72.31	18.02	33.06
chr19	42055886	42093197	ENSG00000007129	6.48	0.0	0.0	0.98	0.0	0.08	0.01
chr17	2496504	2588909	ENSG00000007168	38.48	137.08	46.56	252.48	41.74	31.9	67.98
chr17	26083792	26127525	ENSG00000007171	0.01	0.0	0.0	0.0	0.01	0.0	0.0
chr17	11501748	11873065	ENSG00000007174	0.0	0.0	0.08	0.0	0.01	0.0	0.24
chr17	26941458	26972472	ENSG00000007202	43.07	70.35	73.89	113.71	27.72	24.39	56.08
chr17	26800311	26824799	ENSG00000007216	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr17	9813926	10101868	ENSG00000007237	12.1	0.16	0.11	0.0	3.06	0.0	0.06
chr19	45666186	45681495	ENSG00000007255	52.5	2.28	10.2	0.76	8.64	5.01	2.65
chr19	3777971	3802127	ENSG00000007264	0.74	54.06	0.04	0.0	0.0	0.37	0.09
chr19	42177235	42210895	ENSG00000007306	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr17	62006100	62009714	ENSG00000007312	54.48	0.0	0.52	0.48	0.13	0.25	0.04
chr17	62015914	62050278	ENSG00000007314	0.0	0.01	0.0	0.0	0.0	1.53	0.0
chr1	113066140	113163447	ENSG00000007341	7.7	21.71	6.0	14.54	5.01	5.46	7.47
chrX	153524024	153558700	ENSG00000007350	0.0	0.0	0.0	0.0	0.0	0.44	0.0
chr11	31806340	31839509	ENSG00000007372	0.12	5.82	0.0	0.12	0.0	3.33	0.09
chr16	834974	838397	ENSG00000007376	26.91	19.16	19.35	30.6	20.91	0.8	6.73
chr16	108058	126354	ENSG00000007384	0.75	13.56	18.6	19.83	56.0	0.93	11.47
chr16	238968	279462	ENSG00000007392	30.71	66.04	12.49	62.69	37.77	4.42	17.39
chr3	50400233	50541675	ENSG00000007402	0.0	0.05	0.02	0.0	0.1	0.01	0.02
chr16	1383602	1399439	ENSG00000007516	0.17	9.53	0.08	0.28	0.42	0.03	0.0
chr16	1399241	1401912	ENSG00000007520	10.68	12.5	39.23	23.25	34.11	1.24	18.55
chr16	616995	634136	ENSG00000007541	16.38	10.39	21.9	4.62	18.85	1.66	5.67
chr16	1662326	1727909	ENSG00000007545	0.42	6.69	6.01	4.35	9.04	0.74	4.1
chr6	35441374	35464853	ENSG00000007866	0.07	2.48	9.23	0.28	18.08	0.72	3.21
chr1	169691781	169733846	ENSG00000007908	0.0	0.0	0.0	2.42	0.0	0.0	0.0
chr1	6694228	6761984	ENSG00000007923	35.92	36.86	28.91	45.15	31.31	20.29	25.85
chr1	171060018	171086959	ENSG00000007933	0.0	0.0	0.02	0.0	0.1	0.0	0.02
chr6	16129356	16148479	ENSG00000007944	3.98	13.3	1.04	7.82	1.2	8.52	3.26
chrX	100098313	100129334	ENSG00000007952	0.08	0.0	0.0	0.0	0.01	0.01	0.0
chr1	23832922	23857712	ENSG00000007968	8.96	6.41	0.32	0.85	0.33	3.78	0.03
chr6	170844205	170862429	ENSG00000008018	444.25	43.97	317.98	86.77	290.1	1795.12	241.93
chrX	47431303	47479252	ENSG00000008056	0.01	0.07	0.05	0.03	0.25	0.0	0.02
chr6	15246527	15522252	ENSG00000008083	4.34	3.7	11.15	1.9	6.77	5.12	6.27
chrX	18443703	18671749	ENSG00000008086	4.45	1.44	3.66	1.01	2.81	0.0	1.59
chr1	209757062	209787283	ENSG00000008118	0.04	0.09	0.0	0.0	1.19	0.0	0.0
chr1	1634169	1655766	ENSG00000008128	19.48	42.2	3.06	33.51	12.79	7.24	2.85
chr1	1682671	1711896	ENSG00000008130	15.64	24.74	29.57	19.56	36.18	1.41	31.04
chr6	50786436	50815326	ENSG00000008196	0.08	0.0	0.0	0.0	0.0	0.0	0.01
chr6	50681541	50740701	ENSG00000008197	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	38080696	38165516	ENSG00000008226	0.02	0.0	0.01	0.09	0.02	0.1	0.0
chr7	6201407	6312275	ENSG00000008256	8.11	9.13	31.01	11.32	22.25	0.2	16.05
chr7	87563458	87832204	ENSG00000008277	3.08	3.05	0.04	0.39	0.02	0.04	0.04
chr7	105730949	105753022	ENSG00000008282	69.53	8.65	94.2	9.13	29.01	147.77	143.03
chr17	61509665	61523739	ENSG00000008283	2.37	7.9	19.12	8.88	1.95	4.02	8.15
chr17	49039535	49198226	ENSG00000008294	7.89	62.16	17.29	88.94	17.75	15.0	24.51
chr3	48673902	48700348	ENSG00000008300	0.26	3.85	0.36	0.05	0.4	0.13	0.14
chr7	121715701	121784334	ENSG00000008311	0.03	0.58	1.4	22.75	3.94	0.0	5.81
chr12	6419602	6437672	ENSG00000008323	0.84	0.0	1.54	0.03	0.06	0.0	0.46
chr3	42623332	42636606	ENSG00000008324	125.82	3.57	18.21	2.95	11.84	174.73	26.75
chr19	4343524	4360083	ENSG00000008382	1.94	4.17	3.97	3.38	5.21	0.58	2.4
chr12	16500076	16762193	ENSG00000008394	158.54	105.44	440.84	267.83	180.34	130.13	91.05
chr12	107385142	107487607	ENSG00000008405	4.51	6.59	3.04	9.03	6.4	6.99	5.61
chr19	46522411	46526323	ENSG00000008438	0.0	0.0	0.0	0.15	0.0	0.0	0.0
chr19	13106422	13209610	ENSG00000008441	0.35	0.76	17.37	12.6	30.61	0.23	3.0
chr8	134467091	134584183	ENSG00000008513	10.15	10.27	6.12	55.35	22.48	2.4	3.89
chr16	3096682	3110727	ENSG00000008516	0.46	1.13	0.14	0.28	0.04	0.0	0.05
chr16	3115298	3131908	ENSG00000008517	37.57	144.57	6.03	216.44	62.05	0.24	0.15
chr16	2138711	2185899	ENSG00000008710	1.57	37.51	20.08	13.19	62.12	0.14	5.93
chr22	51039114	51052409	ENSG00000008735	0.02	0.0	0.46	0.04	0.12	0.03	0.22
chr17	38175350	38217468	ENSG00000008838	56.8	45.81	65.41	82.48	47.57	7.29	26.96
chr8	22844930	22877712	ENSG00000008853	1.77	5.41	34.21	2.1	8.1	0.02	15.65
chr2	37195526	37311485	ENSG00000008869	9.4	3.9	7.16	9.29	5.38	5.28	11.92
chr3	169684423	169716161	ENSG00000008952	124.33	74.27	30.25	66.8	23.79	116.65	35.89
chr8	56979854	56987069	ENSG00000008988	851.51	1003.18	1426.17	499.34	1328.66	1340.11	1133.7
chr1	115259534	115301297	ENSG00000009307	147.38	394.53	163.6	363.26	121.65	360.42	154.52
chr7	156931607	157062066	ENSG00000009335	9.86	96.57	56.59	146.83	27.71	11.61	50.22
chr6	111620234	111804918	ENSG00000009413	16.32	5.43	4.39	10.39	4.77	5.52	5.29
chrX	123509753	124097666	ENSG00000009694	0.01	0.01	0.0	0.0	0.01	1.32	0.02
chr1	18957500	19075360	ENSG00000009709	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	11086580	11107290	ENSG00000009724	0.22	1.03	0.08	0.16	0.02	0.09	0.02
chr6	150690028	150727105	ENSG00000009765	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	28052490	28089633	ENSG00000009780	4.8	8.53	4.12	5.49	1.5	6.39	7.62
chr1	209929377	209955668	ENSG00000009790	76.44	1.48	0.01	0.1	0.08	2.72	0.09
chr14	77741299	77787227	ENSG00000009830	4.87	7.06	12.24	11.1	8.42	0.41	12.19
chr6	142468367	142545826	ENSG00000009844	76.18	20.62	48.23	36.0	36.42	124.62	51.43
chr7	73007524	73038873	ENSG00000009950	0.0	4.82	0.07	0.0	0.0	0.07	0.03
chr7	72854728	72936608	ENSG00000009954	8.93	42.26	14.62	47.96	13.03	15.18	13.67
chr6	13621730	13711796	ENSG00000010017	2.68	21.31	16.45	21.64	18.96	25.27	21.9
chr6	36322419	36356164	ENSG00000010030	0.95	0.0	0.57	0.17	0.07	0.0	0.13
chr1	231472850	231490769	ENSG00000010072	7.09	5.01	10.17	22.7	4.17	7.16	9.84
chr1	171750788	171783163	ENSG00000010165	19.13	16.12	28.9	15.55	16.6	19.68	30.13
chr12	4671370	4723325	ENSG00000010219	26.66	20.52	23.53	20.09	41.0	24.47	36.16
chr17	30677136	30708905	ENSG00000010244	127.94	69.15	150.94	79.35	132.9	213.13	97.32
chr3	48636435	48648409	ENSG00000010256	242.42	192.57	464.27	95.3	303.91	131.36	248.39
chr7	38217824	38270272	ENSG00000010270	79.37	3.42	22.53	35.69	33.28	57.95	25.4
chr12	6308881	6347425	ENSG00000010278	9.46	44.09	610.21	305.54	49.85	0.49	568.37
chr3	42734155	42744319	ENSG00000010282	0.0	0.0	0.03	0.0	0.0	0.0	0.0
chr12	6602522	6641121	ENSG00000010292	61.51	171.51	43.31	100.15	22.76	38.48	19.33
chr12	6647541	6665239	ENSG00000010295	1.39	0.2	2.18	7.25	22.57	0.0	0.42
chr19	46171502	46186982	ENSG00000010310	2.35	0.49	0.43	0.0	0.76	2.43	0.79
chr3	52444673	52457657	ENSG00000010318	5.15	13.62	4.79	3.66	1.32	3.01	5.71
chr3	52467069	52479101	ENSG00000010319	0.01	1.99	0.17	3.37	0.04	0.0	0.04
chr3	52489134	52527087	ENSG00000010322	14.26	13.55	31.52	18.04	55.53	0.67	27.15
chr3	52529354	52558511	ENSG00000010327	0.0	0.09	0.02	114.68	0.04	0.07	0.0
chr19	50310126	50320633	ENSG00000010361	5.67	0.0	6.39	1.98	7.8	0.13	2.08
chr12	329789	372039	ENSG00000010379	0.06	0.0	0.01	0.09	0.06	0.08	0.18
chrX	148558521	148615470	ENSG00000010404	51.11	9.22	69.69	23.84	39.4	1.84	44.0
chr9	33750515	33799230	ENSG00000010438	0.09	0.0	38.08	8.12	4.52	0.18	5.11
chr16	3272325	3286221	ENSG00000010539	7.35	4.37	3.05	2.64	2.41	5.54	2.43
chr12	6896024	6929974	ENSG00000010610	0.17	0.0	0.43	0.0	9.7	0.03	0.01
chr12	6982733	7023407	ENSG00000010626	2.04	6.35	3.0	3.87	7.49	1.94	4.03
chrX	100604435	100641183	ENSG00000010671	50.04	0.0	0.0	0.54	0.01	70.04	0.03
chr6	26087509	26098571	ENSG00000010704	0.86	8.23	12.44	6.33	10.2	0.59	10.45
chr1	41492872	41707826	ENSG00000010803	11.81	15.74	16.63	8.26	12.28	9.78	17.11
chr6	111981535	112194655	ENSG00000010810	31.83	88.31	36.44	246.05	20.35	4.37	14.8
chr6	143072604	143266338	ENSG00000010818	2.52	7.77	5.4	2.66	2.81	0.04	5.03
chr1	171217638	171255117	ENSG00000010932	0.0	0.0	0.02	0.0	0.0	0.0	0.05
chr1	24069645	24088549	ENSG00000011007	41.39	34.84	27.53	51.55	15.04	51.15	17.98
chr1	24117460	24122029	ENSG00000011009	84.9	14.13	77.35	28.59	50.55	6.01	29.53
chr1	11866207	11903201	ENSG00000011021	3.95	2.75	4.98	5.11	6.58	1.65	3.72
chr17	60704762	60770958	ENSG00000011028	0.22	4.84	46.17	14.47	88.08	0.16	7.92
chr17	49230951	49249105	ENSG00000011052	24.43	24.01	6.67	18.08	21.58	15.42	7.15
chr5	149569520	149602351	ENSG00000011083	0.05	1.64	0.0	0.0	0.0	0.0	0.0
chr12	3186521	3395730	ENSG00000011105	0.0	3.69	22.89	28.93	19.67	0.0	15.69
chr14	93703896	93799438	ENSG00000011114	4.5	11.48	17.49	20.53	7.74	2.63	14.12
chr19	3750817	3761697	ENSG00000011132	15.88	11.8	4.1	5.02	11.91	0.13	3.79
